cell,longtitude,latitude
91153,-111.9400054,33.4255104
19474,-111.9400054,33.4265104
68251,-111.9400054,33.4255104
100212,-111.9400054,33.4265104
77654,-111.9400054,33.4255104
37371,-111.9400054,33.4265104
20084,-111.9400054,33.4255104
60630,-111.9400054,33.4265104
92520,-111.9400054,33.4255104
75884,-111.9400054,33.4265104
47815,-111.9400054,33.4255104
6864,-111.9400054,33.4265104
80615,-111.9400054,33.4255104
32674,-111.9400054,33.4265104
77684,-111.9400054,33.4255104
104890,-111.9400054,33.4265104
83050,-111.9400054,33.4255104
99283,-111.9400054,33.4265104
47790,-111.9400054,33.4255104
55453,-111.9400054,33.4265104
87151,-111.9400054,33.4255104
72940,-111.9400054,33.4265104
56149,-111.9400054,33.4255104
98054,-111.9400054,33.4265104
24924,-111.9400054,33.4255104
985,-111.9400054,33.4265104
97202,-111.9400054,33.4255104
101970,-111.9400054,33.4265104
17632,-111.9400054,33.4255104
21940,-111.9400054,33.4265104
101960,-111.9400054,33.4255104
76601,-111.9400054,33.4265104
76598,-111.9400054,33.4255104
38584,-111.9400054,33.4265104
44120,-111.9400054,33.4255104
101325,-111.9400054,33.4265104
30624,-111.9400054,33.4255104
77460,-111.9400054,33.4265104
83530,-111.9400054,33.4255104
60902,-111.9400054,33.4265104
55708,-111.9400054,33.4255104
103007,-111.9400054,33.4265104
95481,-111.9400054,33.4255104
8813,-111.9400054,33.4265104
82001,-111.9400054,33.4255104
43972,-111.9400054,33.4265104
53415,-111.9400054,33.4255104
73536,-111.9400054,33.4265104
25911,-111.9400054,33.4255104
63221,-111.9400054,33.4265104
42457,-111.9400054,33.4255104
62644,-111.9400054,33.4265104
77983,-111.9400054,33.4255104
7148,-111.9400054,33.4265104
104007,-111.9400054,33.4255104
54566,-111.9400054,33.4265104
62678,-111.9400054,33.4255104
102116,-111.9400054,33.4265104
69397,-111.9400054,33.4255104
7267,-111.9400054,33.4265104
107281,-111.9400054,33.4255104
1965,-111.9400054,33.4265104
95325,-111.9400054,33.4255104
91788,-111.9400054,33.4265104
87193,-111.9400054,33.4255104
95442,-111.9400054,33.4265104
15539,-111.9400054,33.4255104
9074,-112.032825,33.426613
65173,-112.28076,33.42766
85421,-112.19635,33.427994
69288,-112.270095,33.428722
16014,-111.903707,33.431326
103018,-111.9343636,33.4324361
85003,-111.87718,33.433305
55385,-112.107369,33.433551
38507,-111.970551,33.434002
84415,-112.003604,33.435265
45378,-112.3496021,33.4355977
98960,-112.3496021,33.4365977
51321,-111.960746,33.436681
958,-112.031517,33.437641
34701,-111.953192,33.437746
37413,-112.08226,33.439423
31164,-112.067305,33.439777
74470,-111.984857,33.439881
58980,-112.067506,33.440443
49088,-112.349664,33.4405
105350,-112.349664,33.4415
38484,-112.349664,33.4405
85673,-112.349664,33.4415
42267,-112.037508,33.442946
57557,-112.06871,33.444611
19404,-111.917938,33.444958
101220,-111.991202,33.44513
14650,-112.072567,33.446774
